emb_dim,hidden_size,learning_rate,final_val_loss,final_train_loss,gen_gap,dead_neurons,score,conv_step,grad_stability,avg_grad_norm,emb_entropy,emb_norm_mean,drift_magnitude,cosine_sim
10,1024,0.01,1.68973970413208,1.1518316268920898,0.5379080772399902,0.0,59.66009151882595,800,0.1354972847441653,1.5923773839473725,0,0,0,0
10,1024,0.1,1.820294976234436,1.2705624103546143,0.5497325658798218,0.0,58.579600211249456,600,0.1375681320438148,1.501967604160309,0,0,0,0
10,1024,0.2,1.9136433601379395,1.25081467628479,0.6628286838531494,0.0,57.66983679877387,800,0.13183533514282703,1.163133925795555,0,0,0,0
10,128,0.01,1.999319076538086,2.084700107574463,-0.08538103103637695,0.0,69.06684394412571,1500,0.18133580246438988,0.8743480613231659,0,0,0,0
10,128,0.1,1.8750596046447754,1.9368441104888916,-0.06178450584411621,0.0,71.27926833894517,500,0.13917194749940814,1.102159323453903,0,0,0,0
10,128,0.2,1.9153151512145996,2.029332160949707,-0.11401700973510742,0.0,69.35446614159478,500,0.11158989950874416,0.9249639538526535,0,0,0,0
10,256,0.01,1.9329389333724976,1.9490199089050293,-0.01608097553253174,0.0,71.61589132626851,1800,0.1844035357298228,1.0622773162126542,0,0,0,0
10,256,0.1,1.8621655702590942,1.8522937297821045,0.009871840476989746,0.0,73.0312619389428,300,0.1445958958180041,1.2700466049909591,0,0,0,0
10,256,0.2,1.9614195823669434,2.0964152812957764,-0.134995698928833,0.0,68.3152882999844,500,0.11743939560162471,1.0662779610157014,0,0,0,0
10,32,0.01,2.2048873901367188,2.1343207359313965,0.07056665420532227,0.0,66.64400135040283,4100,0.16327744579354123,0.6562716782093048,0,0,0,0
10,32,0.1,1.9969841241836548,1.9496030807495117,0.047381043434143066,0.0,70.58759870423211,600,0.12623165521400864,0.759863909304142,0,0,0,0
10,32,0.2,2.0449156761169434,2.1097004413604736,-0.06478476524353027,0.0,69.63942881054348,600,0.10851756373520961,0.6479322478175163,0,0,0,0
10,512,0.01,1.8552113771438599,1.8709930181503296,-0.015781641006469727,0.0,72.3157829729716,1800,0.16036827081629884,1.2671917823553085,0,0,0,0
10,512,0.1,1.9303408861160278,1.976858377456665,-0.04651749134063721,0.0,71.36588960541619,200,0.14033724957967428,1.4053441896438599,0,0,0,0
10,512,0.2,2.0423521995544434,2.0286855697631836,0.013666629791259766,0.0,71.35575933244493,200,0.12915044996146616,1.159337198138237,0,0,0,0
10,64,0.01,2.1383633613586426,2.199927806854248,-0.06156444549560547,0.0,68.42539231194391,1800,0.1701295852043211,0.7548788942694664,0,0,0,0
10,64,0.1,1.9359023571014404,1.8655472993850708,0.07035505771636963,0.0,70.4413273164961,600,0.14178692073905402,0.943809848189354,0,0,0,0
10,64,0.2,1.977292537689209,1.8935061693191528,0.08378636837005615,0.0,69.6704752805498,600,0.11530122186416863,0.7882896285057068,0,0,0,0
16,1024,0.01,1.7349313497543335,1.913728952407837,-0.17879760265350342,0.0,68.8944599225786,800,0.15933970988980614,1.9373051433563233,0,0,0,0
16,1024,0.1,1.88334059715271,2.085373878479004,-0.20203328132629395,0.0,66.87819625218708,800,0.16868960849405454,1.6259290866851808,0,0,0,0
16,1024,0.2,1.9984601736068726,2.2394113540649414,-0.24095118045806885,0.0,64.64737415419685,900,0.1731520659910774,1.2342327321767808,0,0,0,0
16,128,0.01,1.9456666707992554,2.0079236030578613,-0.06225693225860596,0.0,70.19747718069289,1600,0.18999401446971007,1.0791618210077285,0,0,0,0
16,128,0.1,1.7968882322311401,1.6549181938171387,0.14197003841400146,0.0,69.64855900552539,300,0.12139971694121017,1.1770321930646896,0,0,0,0
16,128,0.2,1.8588048219680786,1.5044703483581543,0.3543344736099243,0.0,62.72725626309712,300,0.11279344942402328,0.974487051486969,0,0,0,0
16,256,0.01,1.8655612468719482,2.0707340240478516,-0.20517277717590332,0.0,66.62205004586113,1600,0.18560171848180543,1.2701547546386718,0,0,0,0
16,256,0.1,1.759674310684204,2.1358695030212402,-0.37619519233703613,0.0,62.992594801584886,200,0.12700110492860137,1.3355030390024185,0,0,0,0
16,256,0.2,1.9152262210845947,2.1678366661071777,-0.252610445022583,0.0,65.35745357301501,100,0.12106632366362757,1.111157906293869,0,0,0,0
16,32,0.01,2.1691396236419678,1.9089018106460571,0.26023781299591064,0.0,61.59162451108296,3300,0.15475320311763605,0.7729445011019707,0,0,0,0
16,32,0.1,1.954682469367981,1.8575692176818848,0.09711325168609619,0.0,69.51164716614618,500,0.12850596168500242,0.8227535148262978,0,0,0,0
16,32,0.2,1.928682565689087,1.8015141487121582,0.1271684169769287,0.0,68.84110246234471,500,0.11946566812034548,0.6811613500118255,0,0,0,0
16,512,0.01,1.7554579973220825,1.301254391670227,0.45420360565185547,0.0,60.329820743136935,1100,0.167990145150639,1.526836787223816,0,0,0,0
16,512,0.1,1.8171025514602661,1.3033944368362427,0.5137081146240234,0.0,58.72797732035319,300,0.13543613792131076,1.4926268663406372,0,0,0,0
16,512,0.2,1.9249733686447144,1.2931714057922363,0.631801962852478,0.0,57.689125612046986,500,0.145214101398034,1.219471371769905,0,0,0,0
16,64,0.01,1.9879939556121826,2.050682544708252,-0.06268858909606934,0.0,69.68828494389851,1900,0.17344158864513745,0.8976868325471878,0,0,0,0
16,64,0.1,1.794299602508545,1.938183307647705,-0.14388370513916016,0.0,69.61415904574923,300,0.13026197461625222,1.005997812628746,0,0,0,0
16,64,0.2,1.8108439445495605,1.9719555377960205,-0.16111159324645996,0.0,68.95026158438789,300,0.12100285670966641,0.8243271836042404,0,0,0,0
